Company Name,Skills,More Information
"
  virtusa consulting services pvt. ltd.
  
  ","
   
     ** big data concepts  ,  python  ,  sql  ,  shell scripting  ,  aws s ** , api
    
   ",https://www.timesjobs.com/job-detail/python-engineer-virtusa-consulting-services-pvt-ltd-bengaluru-bangalore-null-5-to-6-yrs-jobid-rdn8ouEBn__SLASH__BzpSvf__PLUS__uAgZw==&source=srp
"
  CONNECTING 2 WORK
  
  ","
python , storage , django , testing tools , debugging
    
   ",https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-thiruvananthapuram-5-to-10-yrs-jobid-15ymTnn475xzpSvf__PLUS__uAgZw==&source=srp
"
  CONNECTING 2 WORK
  
  ","
   
     database , python , css , rest api , html , javascript
    
   ",https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-cochin-kochi-ernakulam-2-to-3-yrs-jobid-CZYubAVhafJzpSvf__PLUS__uAgZw==&source=srp
"
  SEVEN CONSULTANCY
  
  ","
   
     Python programming , programming language , front-end developer
    
   ",https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-surat-9-to-12-yrs-jobid-Oi3jhp3isY5zpSvf__PLUS__uAgZw==&source=srp
"
  websharan infotech
  
  ","
python , problem solving , software project , software engineering
    
   ",https://www.timesjobs.com/job-detail/python-developer-websharan-infotech-pune-0-to-3-yrs-jobid-Ujq9FCZjPgtzpSvf__PLUS__uAgZw==&source=srp
"
  InnOvator Web Solutions Pvt.Ltd.
  
  ","
   
     rest , python , django , web developer , mysql , api
    
   ",https://www.timesjobs.com/job-detail/python-developer-innovator-web-solutions-pvt-ltd-mumbai-5-to-8-yrs-jobid-Lb8uLETPZjVzpSvf__PLUS__uAgZw==&source=srp
"
  3RI Technologies Pvt Ltd
  
  ","
python , database , security , django , git , mobile
    
   ",https://www.timesjobs.com/job-detail/python-developer-3ri-technologies-pvt-ltd-pune-0-to-1-yrs-jobid-S9R7triGKgpzpSvf__PLUS__uAgZw==&source=srp
"
  Analytics Vidhya
  
  ","
python , css , html5 , html , ajax , javascript
    
   ",https://www.timesjobs.com/job-detail/python-developer-analytics-vidhya-gurgaon-5-to-8-yrs-jobid-1yt0PivXVN1zpSvf__PLUS__uAgZw==&source=srp
"
  Wing Global IT Services
  
  ","
   
     spring boot , python , java , django , jpa , hibernate
    
   ",https://www.timesjobs.com/job-detail/python-developer-wing-global-it-services-panchkula-2-to-5-yrs-jobid-__PLUS__8RZpYIjbidzpSvf__PLUS__uAgZw==&source=srp
"
  glan management consultancy pvt. ltd.
  
  ","
python , rdbms , mysql , cloud computing , docker , sql
    
   ",https://www.timesjobs.com/job-detail/python-developer-glan-management-consultancy-pvt-ltd-noida-greater-noida-5-to-8-yrs-jobid-2E__SLASH__XvpqO29NzpSvf__PLUS__uAgZw==&source=srp
"
  DealsCorner
  
  ","
python , css , oops , linux , debugging , html , javascript
    
   ",https://www.timesjobs.com/job-detail/python-developer-dealscorner-ahmedabad-1-to-4-yrs-jobid-fldd74GZxP5zpSvf__PLUS__uAgZw==&source=srp
